Type,Distance,Strain,RSP
all_samples,0.142,Fresca Melon x Styrofoam Cup #6,RSP13398
all_samples,0.148,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.148,Pearadise x Cookie Dough #11,RSP13106
all_samples,0.164,Crème de la Crème x Pearadise #14,RSP13396
all_samples,0.167,Crème de la Crème x Styrofoam Cup #11,RSP13402
all_samples,0.168,SHERBERT,RSP11355
all_samples,0.173,Miami Beach #1,RSP13108
all_samples,0.198,Pearadise x Fuzzy Melon #7,RSP13103
all_samples,0.199,Pieface,RSP12794
all_samples,0.206,Styrofoam Cup x Pineapple Pez Melonade #3,RSP12976
all_samples,0.206,Domnesia,RSP11184
all_samples,0.207,Blueberry Cheesecake,RSP10684
all_samples,0.21,Pearadise,RSP13100
all_samples,0.213,Peach Cresendo,RSP12483
all_samples,0.214,Peach Ozz x  Styrofoam Cup #8,RSP13393
all_samples,0.215,NSPM1,RSP11362
all_samples,0.215,El Presidente,RSP12807
all_samples,0.218,Rest,RSP11377
all_samples,0.218,Blch Buds,RSP13134
all_samples,0.218,unknown,RSP11432
base_tree,0.44,Big Red,RSP13217
base_tree,0.436,Cherry Blossom,RSP11311
base_tree,0.433,Cherry Blossom,RSP11314
base_tree,0.43,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.428,Cherry Blossom,RSP11323
base_tree,0.428,Cherry Blossom,RSP11328
base_tree,0.428,Cherry Blossom,RSP11301
base_tree,0.426,Jamaican Lion,RSP12913
base_tree,0.425,Jamaican Lion,RSP12916
base_tree,0.418,Cherry Blossom,RSP11334
base_tree,0.415,Northern Skunk,RSP11456
base_tree,0.414,Cherry Blossom,RSP11318
base_tree,0.41,JL 3rd Gen Father,RSP11196
base_tree,0.408,JL yellow,RSP11075
base_tree,0.408,Tiger Tail (30),RSP11484
base_tree,0.407,Cherry Blossom,RSP11309
base_tree,0.407,Cherry Blossom,RSP11317
base_tree,0.407,Jamaican Lion,RSP12917
base_tree,0.406,AVIDEKEL 2.0,RSP11174
base_tree,0.406,Cbot-2019-005,RSP11133
