Type,Distance,Strain,RSP
all_samples,0.024,PK Buds,RSP13153
all_samples,0.027,PK St-Fl,RSP13155
all_samples,0.028,PK,RSP13087
all_samples,0.032,PK,RSP12932
all_samples,0.042,PK Drying,RSP13124
all_samples,0.046,PK,RSP12926
all_samples,0.079,PK Dried,RSP13123
all_samples,0.114,RKM-2018-008,RSP11099
all_samples,0.121,The Gift,RSP10988
all_samples,0.137,Rugburn OG,RSP11353
all_samples,0.137,RKM-2018-013,RSP11104
all_samples,0.143,DP Dried,RSP13143
all_samples,0.147,SFVxTK,RSP11072
all_samples,0.148,Skywalker OG,RSP10837
all_samples,0.148,Absolute_OG,RSP11455
all_samples,0.149,RKM-2018-012,RSP11103
all_samples,0.159,Elc.Grp. Drying,RSP13121
all_samples,0.163,Pure Power Plant,RSP11265
all_samples,0.165,Red Eye OG,RSP11190
all_samples,0.166,East side OG,RSP12089
base_tree,0.486,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.474,Cherry Blossom,RSP11318
base_tree,0.473,Cherry Blossom,RSP11301
base_tree,0.472,Cherry Blossom,RSP11323
base_tree,0.461,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.46,Tanao Sri (46),RSP11486
base_tree,0.46,Brunswick High,RSP11164
base_tree,0.459,Cherry Blossom,RSP11328
base_tree,0.457,Jamaican Lion,RSP12916
base_tree,0.456,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.449,Cherry Blossom,RSP11300
base_tree,0.448,Cherry Blossom,RSP11298
base_tree,0.447,Cherry Blossom,RSP11312
base_tree,0.445,Jamaican Lion,RSP12917
base_tree,0.445,Cherry Blossom,RSP11309
base_tree,0.436,Cherry Blossom,RSP11306
base_tree,0.435,Jamaican Lion,RSP12915
base_tree,0.433,Wife,RSP11148
base_tree,0.433,JL 3rd Gen Father,RSP11196
base_tree,0.43,Avidekel_05MAY2017,RSP10938
