Type,Distance,Strain,RSP
all_samples,0.02,Black Scotti,RSP13471
all_samples,0.032,Black Scotti,RSP13469
all_samples,0.036,Black Scotti,RSP13467
all_samples,0.053,Black Scotti,RSP13470
all_samples,0.061,Black Scotti,RSP13466
all_samples,0.234,Styrofoam Cup X Sh3rb3t #2,RSP13102
all_samples,0.255,Original Sour Diesel,RSP12902
all_samples,0.257,Orange Soda x Styrofoam Cup #2,RSP13388
all_samples,0.258,Original Diesel,RSP12895
all_samples,0.26,Roze ([REDACTED] x Unknown),RSP12925
all_samples,0.261,AJ Sour Diesel,RSP12903
all_samples,0.261,T20G,RSP13091
all_samples,0.261,T20H,RSP13092
all_samples,0.263,PMK 16949,RSP13110
all_samples,0.264,T20I,RSP13093
all_samples,0.265,PMK 16953,RSP13111
all_samples,0.267,Chem Dog 91,RSP12905
all_samples,0.269,Gorilla Cookies,RSP11231
all_samples,0.271,GMO x Poison Momosa,RSP12500
all_samples,0.276,Square Wave,RSP11344
base_tree,0.465,Cherry Blossom,RSP11318
base_tree,0.464,Up Sunset,RSP11256
base_tree,0.463,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.463,Cherry Blossom,RSP11328
base_tree,0.461,Big Red,RSP13217
base_tree,0.46,Cherry Blossom,RSP11325
base_tree,0.459,Cherry Blossom,RSP11306
base_tree,0.456,Cherry Blossom,RSP11323
base_tree,0.456,Cherry Blossom,RSP11322
base_tree,0.454,Tanao Sri (46),RSP11486
base_tree,0.444,New York City Deisel,RSP11225
base_tree,0.444,Super Lemon Haze,RSP11641
base_tree,0.443,Queen Dream CBG,RSP11287
base_tree,0.442,JL Cross 1,RSP11502
base_tree,0.439,Alaska_05MAY2017,RSP10939
base_tree,0.438,Cherry Blossom,RSP11330
base_tree,0.437,AVIDEKEL 2.0,RSP11174
base_tree,0.437,JL Cross 11,RSP11512
base_tree,0.436,Jamaican Lion,RSP12916
base_tree,0.436,Cherry Blossom,RSP11326
