Type,Distance,Strain,RSP
all_samples,0.144,Runtz (RO3),RSP13306
all_samples,0.148,White Cherry Gelato-V (D15),RSP13305
all_samples,0.157,Pink Runtz (VO1),RSP13307
all_samples,0.172,Styrofoam Cup x Cuban Linx #6,RSP12982
all_samples,0.173,Purple Urkle,RSP12890
all_samples,0.175,Crème de la Crème x Styrofoam Cup #12,RSP13395
all_samples,0.195,Garlic,RSP11341
all_samples,0.196,Orange Soda x Styrofoam Cup #2,RSP13388
all_samples,0.198,Styrofoam Cup x Diesel Truck OG #16,RSP12972
all_samples,0.202,Styrofoam Cup x Cuban Linx #1,RSP12984
all_samples,0.203,RKM-2018-034,RSP11126
all_samples,0.208,Styrofoam Cup,RSP13099
all_samples,0.214,UK Cheese,RSP12896
all_samples,0.215,SHERBERT,RSP11355
all_samples,0.217,Styrofoam Cup x Fuzzy Melon #11,RSP12983
all_samples,0.217,NSPM1,RSP11362
all_samples,0.219,Super Runtz,RSP12810
all_samples,0.221,Champelli OJ,RSP12805
all_samples,0.222,Absolute_OG,RSP11455
all_samples,0.222,Pie Hoe,RSP11073
base_tree,0.496,Cherry Blossom,RSP11318
base_tree,0.461,Big Red,RSP13217
base_tree,0.442,Cherry Blossom,RSP11306
base_tree,0.433,Cherry Blossom,RSP11323
base_tree,0.43,Cherry Blossom,RSP11325
base_tree,0.429,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.426,Cherry Blossom,RSP11300
base_tree,0.424,Tanao Sri (46),RSP11486
base_tree,0.421,Cherry Blossom,RSP11328
base_tree,0.42,Cherry Blossom,RSP11301
base_tree,0.416,Cherry Blossom,RSP11326
base_tree,0.412,Cherry Blossom,RSP11329
base_tree,0.411,Cherry Blossom,RSP11274
base_tree,0.41,Cherry Blossom,RSP11322
base_tree,0.408,Jamaican Lion,RSP12916
base_tree,0.406,Cold Weather Cherry,RSP11414
base_tree,0.405,CBD2 V.2,RSP12669
base_tree,0.404,Cherry Blossom,RSP11302
base_tree,0.403,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.401,Cherry Blossom,RSP11331
