Type,Distance,Strain,RSP
all_samples,0.16,Violletta Swag,RSP13487
all_samples,0.166,Viho Tinto,RSP13488
all_samples,0.2338,80E,RSP11211
all_samples,0.236,"Swag Trinidat, by Kaly",RSP12876
all_samples,0.2408,80E,RSP11213
all_samples,0.2478,80E,RSP11212
all_samples,0.302,Acid Beauty,RSP13483
all_samples,0.306,Tiger Tail (78),RSP11619
all_samples,0.307,Squirrel Tail (31),RSP11485
all_samples,0.308,T2R4,RSP12660
all_samples,0.317,Recon,RSP10755
all_samples,0.317,T4R2,RSP12662
all_samples,0.317,Purple Columbian,RSP12924
all_samples,0.319,Tiger Tail (30),RSP11484
all_samples,0.323,Jiangji,RSP10653
all_samples,0.323,ST,RSP12666
all_samples,0.323,Liberty Haze,RSP11000
all_samples,0.325,Tanao Sri-white (79),RSP11620
all_samples,0.325,PK,RSP12667
all_samples,0.326,T4R6,RSP12664
base_tree,0.508,Cherry Blossom,RSP11323
base_tree,0.501,Cherry Blossom,RSP11318
base_tree,0.471,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.468,QLE1,RSP11451
base_tree,0.46,Escape Velocity,RSP11165
base_tree,0.458,Super Sour Diesel,RSP11191
base_tree,0.458,Chemdog D,RSP13490
base_tree,0.458,Cherry Blossom,RSP11327
base_tree,0.456,New York City Deisel,RSP11225
base_tree,0.456,Dave Alaska,RSP11627
base_tree,0.455,Queen Dream,RSP11289
base_tree,0.455,Hot Blonde,RSP11292
base_tree,0.452,GG4,RSP11978
base_tree,0.451,Queen Dream CBG,RSP11295
base_tree,0.45,Jamaican Lion,RSP12916
base_tree,0.45,Queen Dream CBG,RSP11287
base_tree,0.45,Cherry Blossom,RSP11274
base_tree,0.449,CHEM4,RSP12090
base_tree,0.449,Sour Diesel (Wing Wang NYC),RSP13089
base_tree,0.448,Cherry Blossom,RSP11335
