Type,Distance,Strain,RSP
all_samples,0.127,Tenth Planet (Leaves),RSP13180
all_samples,0.197,Serious Happiness,RSP10763
all_samples,0.197,Blueberry Cheesecake,RSP10684
all_samples,0.198,Trump x Trump,RSP11466
all_samples,0.21,Electra,RSP11366
all_samples,0.214,Tahoe OG,RSP11189
all_samples,0.214,Domnesia,RSP11184
all_samples,0.22,Thank You Jerry,RSP11459
all_samples,0.221,Banana Daddy 1 (Big),RSP11496
all_samples,0.221,Doug's Varin,RSP11243
all_samples,0.226,Rest,RSP11377
all_samples,0.227,SPQ (quite resistant),RSP11370
all_samples,0.233,Lift,RSP11378
all_samples,0.233,JL Cross 10,RSP11511
all_samples,0.234,Liberty Haze,RSP11000
all_samples,0.236,GG#4,RSP11461
all_samples,0.237,Joy,RSP11380
all_samples,0.242,CPH,RSP11367
all_samples,0.243,Suver Haze,RSP11364
all_samples,0.244,Badger,RSP11614
base_tree,0.527,Jamaican Lion,RSP12916
base_tree,0.514,JL yellow,RSP11075
base_tree,0.501,Jamaican Lion,RSP12917
base_tree,0.486,JL 3rd Gen Mother,RSP11214
base_tree,0.485,Jamaican Lion,RSP12915
base_tree,0.46,Jamaican Lion,RSP12913
base_tree,0.441,JL 3rd Gen Father,RSP11196
base_tree,0.437,JL 4th Gen 1,RSP11193
base_tree,0.434,JL 4th Gen 5,RSP11199
base_tree,0.434,JL 3rd Gen Mother,RSP11197
base_tree,0.433,JL 4th Gen 2,RSP11194
base_tree,0.426,JL 4th Gen 6,RSP11200
base_tree,0.421,Jamaican Lion,RSP12920
base_tree,0.42,JL 4th Gen 4,RSP11198
base_tree,0.419,Punta Roja,RSP12923
base_tree,0.419,Jamaican Lion,RSP12919
base_tree,0.414,Tanao Sri-white (80),RSP11621
base_tree,0.412,Jamaican Lion,RSP12918
