Type,Distance,Strain,RSP
all_samples,0.135,Trump x Trump,RSP11466
all_samples,0.149,Rest,RSP11377
all_samples,0.18,TI,RSP11149
all_samples,0.195,Electra,RSP11366
all_samples,0.204,Blueberry Cheesecake,RSP10684
all_samples,0.205,Lift,RSP11378
all_samples,0.205,Domnesia,RSP11184
all_samples,0.207,Doug's Varin,RSP11243
all_samples,0.211,Suver Haze,RSP11364
all_samples,0.219,PG Buds,RSP13151
all_samples,0.22,PG Rt-Fl,RSP13152
all_samples,0.223,UnObtanium,RSP11611
all_samples,0.223,Danny Noonan,RSP11070
all_samples,0.224,Durban Poison #1,RSP11013
all_samples,0.225,Serious Happiness,RSP10763
all_samples,0.225,T.S.A.G.E,RSP11351
all_samples,0.226,Sunday Driver,RSP11071
all_samples,0.226,T20G,RSP13091
all_samples,0.227,Old Family Purple,RSP12098
all_samples,0.227,PG,RSP12934
base_tree,0.437,Cherry Blossom,RSP11311
base_tree,0.418,Jamaican Lion,RSP12913
base_tree,0.418,Cherry Blossom,RSP11317
base_tree,0.417,Cherry Blossom,RSP11328
base_tree,0.414,Cherry Blossom,RSP11309
base_tree,0.4118,80E,RSP11213
base_tree,0.408,Cherry Blossom,RSP11318
base_tree,0.407,Cherry Blossom,RSP11314
base_tree,0.405,CS Indica,RSP11658
base_tree,0.405,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.403,Jamaican Lion,RSP12916
base_tree,0.402,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.401,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.397,Cherry Blossom,RSP11298
base_tree,0.397,CS,RSP11208
base_tree,0.395,BCH Rt-Fl,RSP13141
base_tree,0.392,Tanao Sri (46),RSP11486
base_tree,0.391,Cherry Blossom,RSP11300
base_tree,0.391,Punta Roja,RSP12923
base_tree,0.391,Tiger Tail (30),RSP11484
