Type,Distance,Strain,RSP
all_samples,0.165,Banana Taffy x Styrofoam Cup #7,RSP13397
all_samples,0.202,Styrofoam Cup,RSP13099
all_samples,0.222,Crème de la Crème x Styrofoam Cup #12,RSP13395
all_samples,0.228,Bolo Runtz x Styrofoam Cup #1,RSP13401
all_samples,0.228,Styrofoam Cup x Diesel Truck OG #16,RSP12972
all_samples,0.231,Styrofoam Cup x Cuban Linx #6,RSP12982
all_samples,0.231,Strawnana,RSP12094
all_samples,0.231,Orange Soda x Styrofoam Cup #2,RSP13388
all_samples,0.232,UK Cheese x Styrofoam Cup #1,RSP13389
all_samples,0.233,NSPM1,RSP11362
all_samples,0.237,EGf Buds,RSP13148
all_samples,0.242,Pearadise x Pineapple Pez Melonade #6,RSP12978
all_samples,0.243,RKM-2018-027,RSP11119
all_samples,0.243,Black Jack,RSP10603
all_samples,0.246,white wedding,RSP12103
all_samples,0.247,Garlic,RSP11341
all_samples,0.247,White Label 2,RSP11337
all_samples,0.248,DNA Genetics - Tangie (Legend of Hash Seeds),RSP12921
all_samples,0.248,Styrofoam Cup x Orange Juice #5,RSP12974
all_samples,0.249,Styrofoam Cup x Cuban Linx #1,RSP12984
base_tree,0.467,Cherry Blossom,RSP11318
base_tree,0.459,Cherry Blossom,RSP11306
base_tree,0.454,Cherry Blossom,RSP11322
base_tree,0.452,Cherry Blossom,RSP11323
base_tree,0.448,Cherry Blossom,RSP11301
base_tree,0.447,Big Red,RSP13217
base_tree,0.437,Cherry Blossom,RSP11329
base_tree,0.432,Cherry Blossom,RSP11274
base_tree,0.43,Cold Weather Cherry,RSP11414
base_tree,0.425,Cherry Blossom,RSP11325
base_tree,0.425,Cherry Blossom,RSP11313
base_tree,0.423,Cherry Blossom,RSP11326
base_tree,0.422,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.422,Cherry Blossom,RSP11333
base_tree,0.421,Tanao Sri (46),RSP11486
base_tree,0.421,Cherry Blossom,RSP11300
base_tree,0.42,AVIDEKEL 2.0,RSP11174
base_tree,0.419,BCH Rt-Fl,RSP13141
base_tree,0.416,Medxotic,RSP11410
base_tree,0.415,Chematonic (Cannatonic x Chemdawg),RSP11394
