Type,Distance,Strain,RSP
all_samples,0.116,BCP Buds,RSP13137
all_samples,0.118,BCP-St-NoMET,RSP13195
all_samples,0.12,BCP St-Fl,RSP13140
all_samples,0.122,BCP-Lf-NoMET,RSP13191
all_samples,0.126,BCP-St-MET,RSP13194
all_samples,0.128,BCP-Rt-MET,RSP13192
all_samples,0.129,BCP Rt-Fl,RSP13138
all_samples,0.131,BCP-Rt-NoMET,RSP13193
all_samples,0.151,Blch-Rt-RW,RSP13198
all_samples,0.153,BCP Lf-Fl,RSP13139
all_samples,0.172,PG Buds,RSP13151
all_samples,0.175,Domnesia,RSP11184
all_samples,0.178,PG,RSP13088
all_samples,0.179,Blch Buds,RSP13134
all_samples,0.18,PG Rt-Fl,RSP13152
all_samples,0.181,Blch Rt-Fl,RSP13135
all_samples,0.182,Blch St-Fl,RSP13136
all_samples,0.183,PG,RSP12934
all_samples,0.183,Serious Happiness,RSP10763
all_samples,0.184,T20H,RSP13092
base_tree,0.42,Cherry Blossom,RSP11323
base_tree,0.415,Jamaican Lion,RSP12916
base_tree,0.409,Cherry Blossom,RSP11328
base_tree,0.406,Cherry Blossom,RSP11317
base_tree,0.404,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.4038,80E,RSP11213
base_tree,0.398,Jamaican Lion,RSP12913
base_tree,0.398,CS,RSP11208
base_tree,0.397,JL yellow,RSP11075
base_tree,0.397,Cherry Blossom,RSP11311
base_tree,0.397,Jamaican Lion,RSP12917
base_tree,0.395,Tanao Sri (46),RSP11486
base_tree,0.395,CS Indica,RSP11658
base_tree,0.395,Candy Kush,RSP11492
base_tree,0.391,BCH Rt-Fl,RSP13141
