Type,Distance,Strain,RSP
all_samples,0.004,Pink Kush,RSP13227
all_samples,0.006,Pink Kush,RSP13228
all_samples,0.006,Pink Kush,RSP13229
all_samples,0.007,Pink Kush,RSP13231
all_samples,0.008,PK Buds,RSP13153
all_samples,0.008,Pink Kush,RSP13226
all_samples,0.011,PK,RSP13087
all_samples,0.013,PK St-Fl,RSP13155
all_samples,0.014,PK-St-M,RSP13205
all_samples,0.015,PK-Lf-M,RSP13201
all_samples,0.016,PK,RSP12932
all_samples,0.023,PK Rt-Fl,RSP13154
all_samples,0.024,PK-Rt-RW,RSP13204
all_samples,0.031,PK Drying,RSP13124
all_samples,0.032,PK-Rt-Coco,RSP13202
all_samples,0.033,PK-Rt-BioG-,RSP13200
all_samples,0.038,PK,RSP12926
all_samples,0.039,PK-Rt-M,RSP13203
all_samples,0.07,PK Dried,RSP13123
all_samples,0.115,RKM-2018-008,RSP11099
base_tree,0.485,Jamaican Lion,RSP12916
base_tree,0.481,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.48,Big Red,RSP13217
base_tree,0.47,Cherry Blossom,RSP11301
base_tree,0.468,Jamaican Lion,RSP12917
base_tree,0.465,Tanao Sri (46),RSP11486
base_tree,0.463,Brunswick High,RSP11164
base_tree,0.46,Cherry Blossom,RSP11323
base_tree,0.455,Cherry Blossom,RSP11318
base_tree,0.455,Jamaican Lion,RSP12915
base_tree,0.453,JL yellow,RSP11075
base_tree,0.451,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.45,Cherry Blossom,RSP11328
base_tree,0.45,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.45,JL 3rd Gen Father,RSP11196
base_tree,0.449,Jamaican Lion,RSP12913
base_tree,0.446,JL 4th Gen 5,RSP11199
base_tree,0.443,JL x MC7,RSP13213
base_tree,0.44,JL 3rd Gen Mother,RSP11214
base_tree,0.44,Cherry Blossom,RSP11309
