Type,Distance,Strain,RSP
all_samples,0.027,SLH Buds,RSP13131
all_samples,0.037,SLH Rt-M,RSP13132
all_samples,0.058,SLH C3,RSP12943
all_samples,0.085,SLH C3,RSP12942
all_samples,0.187,Domnesia,RSP11184
all_samples,0.203,Wedding Cake x MAC,RSP11464
all_samples,0.204,Pie Face Mac,RSP11974
all_samples,0.214,Blue Dream,RSP11009
all_samples,0.216,Casco Kush,RSP11167
all_samples,0.219,Durban Poison #1,RSP11013
all_samples,0.22,Super Blue Dream,RSP11011
all_samples,0.223,Sunday Driver,RSP11071
all_samples,0.225,Serious Happiness,RSP10763
all_samples,0.227,Blue Dream,RSP11004
all_samples,0.228,JL Cross 29,RSP11530
all_samples,0.229,Blue Dream,RSP11017
all_samples,0.229,Pieface,RSP12794
all_samples,0.231,Blue Dream,RSP11006
all_samples,0.231,Blue Dream,RSP11010
all_samples,0.233,Blue Dream,RSP11008
base_tree,0.485,Cherry Blossom,RSP11323
base_tree,0.434,Jamaican Lion,RSP12916
base_tree,0.427,Cherry Blossom,RSP11328
base_tree,0.426,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.418,Cherry Blossom,RSP11309
base_tree,0.414,Cherry Blossom CBG,RSP11303
base_tree,0.413,Cherry Blossom,RSP11318
base_tree,0.413,Cherry Blossom,RSP11306
base_tree,0.413,Cherry Blossom,RSP11298
base_tree,0.413,Jamaican Lion,RSP12917
base_tree,0.409,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.408,Tanao Sri (46),RSP11486
base_tree,0.402,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.398,Cherry Blossom,RSP11274
base_tree,0.398,Jamaican Lion,RSP12915
base_tree,0.396,JL 3rd Gen Mother,RSP11214
base_tree,0.395,JL yellow,RSP11075
base_tree,0.394,Cherry Blossom,RSP11301
base_tree,0.393,Cherry Blossom,RSP11325
base_tree,0.392,Cherry Blossom,RSP11334
