Type,Distance,Strain,RSP
all_samples,0.286,Wedding Cake x MAC,RSP11464
all_samples,0.286,Pink Runtz (VO1),RSP13307
all_samples,0.293,Runtz (RO3),RSP13306
all_samples,0.294,White Cherry Gelato-V (D15),RSP13305
all_samples,0.308,Deadhead OG,RSP11463
all_samples,0.313,JABBA'S STASH,RSP11348
all_samples,0.314,Purple Urkle,RSP12890
all_samples,0.314,El Presidente,RSP12807
all_samples,0.319,Black Triangle,RSP11638
all_samples,0.321,Tenth Planet (Roots),RSP13179
all_samples,0.321,New BSR,RSP12104
all_samples,0.322,Blch-Rt-Coco,RSP13197
all_samples,0.322,BCP Dring,RSP13118
all_samples,0.323,Tenth Planet (Leaves),RSP13180
all_samples,0.327,Right Mark,RSP11628
all_samples,0.327,Mendo Breath,RSP11747
all_samples,0.328,Disco Rose #21,RSP12866
all_samples,0.33,Arcata Trainwreck,RSP11176
all_samples,0.333,Super Sour Diesel,RSP11191
all_samples,0.334,BCP Buds,RSP13137
base_tree,0.577,Jamaican Lion,RSP12916
base_tree,0.551,JL yellow,RSP11075
base_tree,0.544,Jamaican Lion,RSP12915
base_tree,0.543,Jamaican Lion,RSP12917
base_tree,0.54,JL 3rd Gen Mother,RSP11214
base_tree,0.527,JL 3rd Gen Mother,RSP11197
base_tree,0.527,JL 4th Gen 1,RSP11193
base_tree,0.501,Brunswick High,RSP11164
base_tree,0.501,JL x MC7,RSP13213
base_tree,0.501,JL_x_MandarinCookies_XX_THC_10,RSP13168
base_tree,0.499,JL_x_NSPM1_4,RSP11482
base_tree,0.497,RKM-2018-024,RSP11116
base_tree,0.495,JL 4th Gen 3,RSP11195
base_tree,0.492,JL 4th Gen 4,RSP11198
base_tree,0.49,Cherry Blossom,RSP11318
base_tree,0.489,JL 4th Gen 2,RSP11194
base_tree,0.489,JL 4th Gen 5,RSP11199
base_tree,0.487,Tanao Sri (46),RSP11486
base_tree,0.485,Cherry Blossom,RSP11323
