Type,Distance,Strain,RSP
all_samples,0.036,PK Buds,RSP13153
all_samples,0.037,PK-Lf-M,RSP13201
all_samples,0.038,PK St-Fl,RSP13155
all_samples,0.038,PK-St-M,RSP13205
all_samples,0.039,PK,RSP13087
all_samples,0.045,PK-Rt-RW,RSP13204
all_samples,0.045,PK,RSP12932
all_samples,0.045,PK Rt-Fl,RSP13154
all_samples,0.05,PK-Rt-BioG-,RSP13200
all_samples,0.053,PK Drying,RSP13124
all_samples,0.058,PK-Rt-M,RSP13203
all_samples,0.061,PK,RSP12926
all_samples,0.087,PK Dried,RSP13123
all_samples,0.137,RKM-2018-008,RSP11099
all_samples,0.14,The Gift,RSP10988
all_samples,0.146,RKM-2018-013,RSP11104
all_samples,0.152,Rugburn OG,RSP11353
all_samples,0.157,RKM-2018-012,RSP11103
all_samples,0.16,Absolute_OG,RSP11455
all_samples,0.161,DP Dried,RSP13143
base_tree,0.484,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.479,Jamaican Lion,RSP12916
base_tree,0.474,Cherry Blossom,RSP11301
base_tree,0.471,Cherry Blossom,RSP11323
base_tree,0.471,Tanao Sri (46),RSP11486
base_tree,0.47,Brunswick High,RSP11164
base_tree,0.47,Cherry Blossom,RSP11318
base_tree,0.464,Jamaican Lion,RSP12917
base_tree,0.459,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.455,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.449,Jamaican Lion,RSP12915
base_tree,0.448,Cherry Blossom,RSP11328
base_tree,0.448,Cherry Blossom,RSP11300
base_tree,0.448,JL yellow,RSP11075
base_tree,0.446,JL 3rd Gen Father,RSP11196
base_tree,0.444,Jamaican Lion,RSP12913
base_tree,0.443,Cherry Blossom,RSP11298
base_tree,0.442,Cherry Blossom,RSP11309
base_tree,0.441,JL Cross 25,RSP11526
base_tree,0.441,Cherry Blossom,RSP11312
