Type,Distance,Strain,RSP
all_samples,0.081,PG Buds,RSP13151
all_samples,0.089,PG,RSP13088
all_samples,0.09,PG Rt-Fl,RSP13152
all_samples,0.096,PG,RSP12934
all_samples,0.1,PG,RSP12928
all_samples,0.151,BCP-Stem-Fl2,RSP13196
all_samples,0.201,Blue Dream,RSP11004
all_samples,0.202,Domnesia,RSP11184
all_samples,0.202,PD Lf-M,RSP13150
all_samples,0.204,Blch Buds,RSP13134
all_samples,0.205,Blch St-Fl,RSP13136
all_samples,0.206,Powdered Donuts,RSP13268
all_samples,0.206,Powdered Donuts,RSP13263
all_samples,0.207,Powdered Donuts,RSP13273
all_samples,0.207,Powdered Donuts,RSP13272
all_samples,0.207,Powdered Donuts,RSP13270
all_samples,0.208,PD St-M,RSP13149
all_samples,0.208,Powdered Donuts,RSP13266
all_samples,0.209,Blch Rt-Fl,RSP13135
all_samples,0.212,Powdered Donuts,RSP13264
base_tree,0.453,Cherry Blossom,RSP11311
base_tree,0.447,Cherry Blossom,RSP11328
base_tree,0.445,Cherry Blossom,RSP11317
base_tree,0.433,Cherry Blossom,RSP11298
base_tree,0.429,CS Indica,RSP11658
base_tree,0.428,Cherry Blossom,RSP11323
base_tree,0.426,Cherry Blossom,RSP11334
base_tree,0.424,Big Red,RSP13217
base_tree,0.421,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.42,Cherry Blossom,RSP11314
base_tree,0.419,Cherry Blossom,RSP11312
base_tree,0.417,Candy Kush,RSP11492
base_tree,0.413,CS,RSP11208
base_tree,0.413,Cherry Blossom,RSP11330
base_tree,0.412,Cherry Blossom,RSP11335
base_tree,0.41,Cherry Blossom,RSP11308
base_tree,0.4108,80E,RSP11213
base_tree,0.407,Feral,RSP11205
base_tree,0.406,Cherry Blossom,RSP11309
base_tree,0.406,Tiger Tail (30),RSP11484
