Type,Distance,Strain,RSP
all_samples,0.077,PK,RSP13087
all_samples,0.079,PK,RSP12932
all_samples,0.08,PK Drying,RSP13124
all_samples,0.09,PK,RSP12926
all_samples,0.163,Rugburn OG,RSP11353
all_samples,0.169,The Gift,RSP10988
all_samples,0.171,RKM-2018-012,RSP11103
all_samples,0.177,Absolute_OG,RSP11455
all_samples,0.178,RKM-2018-008,RSP11099
all_samples,0.179,SFVxTK,RSP11072
all_samples,0.18,RKM-2018-013,RSP11104
all_samples,0.183,Skywalker OG,RSP10837
all_samples,0.191,East side OG,RSP12089
all_samples,0.192,Elc.Grp. Drying,RSP13121
all_samples,0.193,Red Eye OG,RSP11190
all_samples,0.206501,501st OG,RSP11241
all_samples,0.209,RKM-2018-026,RSP11118
all_samples,0.209,Deadhead OG,RSP11463
all_samples,0.212,Motor Breath #15,RSP12093
all_samples,0.214,Pure Power Plant,RSP11265
base_tree,0.511,Jamaican Lion,RSP12916
base_tree,0.502,Jamaican Lion,RSP12917
base_tree,0.501,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.495,Jamaican Lion,RSP12915
base_tree,0.489,JL yellow,RSP11075
base_tree,0.489,JL 3rd Gen Mother,RSP11214
base_tree,0.488,Brunswick High,RSP11164
base_tree,0.484,Cherry Blossom,RSP11301
base_tree,0.48,Cherry Blossom,RSP11323
base_tree,0.479,Cherry Blossom,RSP11318
base_tree,0.479,Tanao Sri (46),RSP11486
base_tree,0.475,JL 4th Gen 4,RSP11198
base_tree,0.473,Jamaican Lion,RSP12913
base_tree,0.471,JL 4th Gen 5,RSP11199
base_tree,0.47,JL 4th Gen 1,RSP11193
base_tree,0.47,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.469,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.466,JL 3rd Gen Mother,RSP11197
base_tree,0.465,JL 3rd Gen Father,RSP11196
