Type,Distance,Strain,RSP
all_samples,0.018,PK-Lf-M,RSP13201
all_samples,0.018,PK Buds,RSP13153
all_samples,0.02,PK St-Fl,RSP13155
all_samples,0.02,PK,RSP13087
all_samples,0.024,PK,RSP12932
all_samples,0.026,PK-Rt-RW,RSP13204
all_samples,0.03,PK Rt-Fl,RSP13154
all_samples,0.037,PK Drying,RSP13124
all_samples,0.038,PK-Rt-BioG-,RSP13200
all_samples,0.038,PK-Rt-Coco,RSP13202
all_samples,0.04,PK-Rt-M,RSP13203
all_samples,0.043,PK,RSP12926
all_samples,0.079,PK Dried,RSP13123
all_samples,0.12,RKM-2018-008,RSP11099
all_samples,0.121,The Gift,RSP10988
all_samples,0.132,Rugburn OG,RSP11353
all_samples,0.135,RKM-2018-013,RSP11104
all_samples,0.145,DP Dried,RSP13143
all_samples,0.146,Absolute_OG,RSP11455
all_samples,0.148,RKM-2018-012,RSP11103
base_tree,0.482,Jamaican Lion,RSP12916
base_tree,0.481,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.471,Tanao Sri (46),RSP11486
base_tree,0.47,Jamaican Lion,RSP12917
base_tree,0.469,Cherry Blossom,RSP11323
base_tree,0.469,Cherry Blossom,RSP11301
base_tree,0.468,Brunswick High,RSP11164
base_tree,0.465,Cherry Blossom,RSP11318
base_tree,0.455,Jamaican Lion,RSP12915
base_tree,0.451,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.451,JL yellow,RSP11075
base_tree,0.45,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.448,Jamaican Lion,RSP12913
base_tree,0.446,JL 3rd Gen Father,RSP11196
base_tree,0.44,Cherry Blossom,RSP11328
base_tree,0.439,JL 4th Gen 5,RSP11199
base_tree,0.438,Cherry Blossom,RSP11298
base_tree,0.438,JL 3rd Gen Mother,RSP11214
base_tree,0.438,Cherry Blossom,RSP11309
base_tree,0.437,Cherry Blossom,RSP11300
