Type,Distance,Strain,RSP
all_samples,0.191,Electra,RSP11366
all_samples,0.2,Lift,RSP11378
all_samples,0.206,Liberty Haze,RSP11000
all_samples,0.209,Lifter,RSP11365
all_samples,0.211,Blueberry Cheesecake,RSP10684
all_samples,0.212,Domnesia,RSP11184
all_samples,0.213,Suver Haze,RSP11364
all_samples,0.215,Doug's Varin,RSP11243
all_samples,0.218,Trump x Trump,RSP11466
all_samples,0.219,CANNATONIC,RSP11349
all_samples,0.22,Joy,RSP11380
all_samples,0.226,Serious Happiness,RSP10763
all_samples,0.227,JL Cross 10,RSP11511
all_samples,0.228,Durban Poison #1,RSP11013
all_samples,0.22913,13 Cherries,RSP11442
all_samples,0.231,Blueberry Cheesecake,RSP10671
all_samples,0.232,Badger,RSP11614
all_samples,0.233,Liberty Haze,RSP10946
all_samples,0.235,Sour Tsunami,RSP11187
all_samples,0.239,Blueberry Cheesecake,RSP10670
base_tree,0.465,Cherry Blossom,RSP11323
base_tree,0.446,Jamaican Lion,RSP12916
base_tree,0.423,Cherry Blossom,RSP11318
base_tree,0.417,Jamaican Lion,RSP12917
base_tree,0.415,JL yellow,RSP11075
base_tree,0.415,Cherry Blossom,RSP11328
base_tree,0.411,JL 3rd Gen Mother,RSP11214
base_tree,0.409,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.408,Jamaican Lion,RSP12915
base_tree,0.405,Jamaican Lion,RSP12913
base_tree,0.391,Tanao Sri (46),RSP11486
base_tree,0.389,Cherry Blossom,RSP11317
base_tree,0.387,JL 3rd Gen Mother,RSP11197
base_tree,0.386,CDSD,RSP12935
base_tree,0.383,BagSeed,RSP12501
