Type,Distance,Strain,RSP
all_samples,0.188,Cheese,RSP10460
all_samples,0.196,RKM-2018-003,RSP11094
all_samples,0.21,SK6210,RSP12735
all_samples,0.211,Durban Poison #1,RSP11013
all_samples,0.214,Pearadise,RSP13100
all_samples,0.219,Durban Poison #1,RSP10996
all_samples,0.23,Peach Ozz x Pearadise #2,RSP13505
all_samples,0.231,RKM-2018-020,RSP11112
all_samples,0.235,Black Jack,RSP10603
all_samples,0.235,Durban Poison,RSP10998
all_samples,0.236,Lemon G13,RSP11465
all_samples,0.237,Northern Lights,RSP11501
all_samples,0.238,BLACK JACK,RSP11346
all_samples,0.238,Durban Poison,RSP11226
all_samples,0.239,UK Cheese x Styrofoam Cup #1,RSP13389
all_samples,0.239,RKM-2018-027,RSP11119
all_samples,0.24,Jasmine Silver Haze,RSP11979
all_samples,0.243,Durban Poison,RSP11014
all_samples,0.245,Lemon Skunk,RSP11229
all_samples,0.245,RKM-2018-025,RSP11117
base_tree,0.4528,80E,RSP11213
base_tree,0.452,Cherry Blossom,RSP11317
base_tree,0.444,Cherry Blossom,RSP11333
base_tree,0.44,Cherry Blossom,RSP11306
base_tree,0.439,Cherry Blossom,RSP11314
base_tree,0.434,Feral,RSP11205
base_tree,0.433,Blueberry TrainMAC F2,RSP13463
base_tree,0.433,Cherry Blossom,RSP11322
base_tree,0.431,CS,RSP11208
base_tree,0.4318,80E,RSP11211
base_tree,0.43,Rainbow Belts 1.0,RSP12911
base_tree,0.4288,80E,RSP11212
base_tree,0.422,CS Indica,RSP11658
base_tree,0.422,Northern Skunk,RSP11456
base_tree,0.421,The Original Z (Zk*****z),RSP13259
base_tree,0.418,Cherry Blossom,RSP11329
base_tree,0.418,Opalo,RSP13489
base_tree,0.418,BCH Rt-Fl,RSP13141
base_tree,0.417,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.417,Cherry Blossom,RSP11324
