Type,Distance,Strain,RSP
all_samples,0.18,Electra,RSP11366
all_samples,0.2,Lift,RSP11378
all_samples,0.21,Serious Happiness,RSP10763
all_samples,0.212,Suver Haze,RSP11364
all_samples,0.217,Doug's Varin,RSP11243
all_samples,0.225,Liberty Haze,RSP11000
all_samples,0.23,Lifter,RSP11365
all_samples,0.233,Queen Dream CBG,RSP11296
all_samples,0.233,Queen Dream CBG,RSP11286
all_samples,0.236,Queen Dream CBG,RSP11285
all_samples,0.236,FL30 7/11/2019,RSP11361
all_samples,0.237,Badger,RSP11614
all_samples,0.238,Rest,RSP11377
all_samples,0.24,Miss X,RSP10999
all_samples,0.242,Queen Dream CBG,RSP11294
all_samples,0.243,Liberty Haze,RSP10946
all_samples,0.246,Hot Blonde,RSP11290
all_samples,0.249,CBG-#40,RSP11444
all_samples,0.25,Hot Blonde,RSP11292
all_samples,0.251,JL_X_NSPM1_14,RSP11473
base_tree,0.53,Jamaican Lion,RSP12916
base_tree,0.513,JL yellow,RSP11075
base_tree,0.506,JL 3rd Gen Mother,RSP11214
base_tree,0.506,Jamaican Lion,RSP12917
base_tree,0.486,Jamaican Lion,RSP12915
base_tree,0.476,JL 3rd Gen Mother,RSP11197
base_tree,0.442,Old Town,RSP13257
base_tree,0.441,JL 4th Gen 1,RSP11193
base_tree,0.439,Jamaican Lion,RSP12913
base_tree,0.436,El Gordo,RSP12938
base_tree,0.436,Pearadise x Fuzzy Melon #14,RSP12969
base_tree,0.434,JL 4th Gen 5,RSP11199
base_tree,0.431,El Gordo Dried,RSP13122
base_tree,0.431,Cherry Blossom,RSP11323
base_tree,0.43,EGd St-M,RSP13147
base_tree,0.43,JL x MC7,RSP13213
base_tree,0.428,EG2 Leaves,RSP13094
base_tree,0.426,EGd Rt-M,RSP13146
base_tree,0.424,EGd Rt-Fl,RSP13144
base_tree,0.424,JL 4th Gen 2,RSP11194
