Type,Distance,Strain,RSP
all_samples,0.051,A29-Rt-M-Rw,RSP13188
all_samples,0.086,A29-Lf-M-Rw,RSP13187
all_samples,0.157,Electra,RSP11366
all_samples,0.159,Domnesia,RSP11184
all_samples,0.179,Serious Happiness,RSP10763
all_samples,0.183,Lift,RSP11378
all_samples,0.184,JL_X_NSPM1_7,RSP11469
all_samples,0.186,Doug's Varin,RSP11243
all_samples,0.187,JFG,RSP13085
all_samples,0.188,Glitter Bomb,RSP12901
all_samples,0.189,Blueberry Cheesecake,RSP10684
all_samples,0.19,SHERBERT,RSP11355
all_samples,0.19,PD Lf-M,RSP13150
all_samples,0.19,PD St-M,RSP13149
all_samples,0.193,Suver Haze,RSP11364
all_samples,0.195,Old Family Purple,RSP12098
all_samples,0.195,JL_X_NSPM1_14,RSP11473
all_samples,0.196,Trump x Trump,RSP11466
all_samples,0.197,Tahoe OG,RSP11189
all_samples,0.198,Pieface,RSP12794
base_tree,0.423,Jamaican Lion,RSP12916
base_tree,0.4148,80E,RSP11213
base_tree,0.406,Cherry Blossom,RSP11323
base_tree,0.4,Northern Skunk,RSP11456
base_tree,0.4,JL yellow,RSP11075
base_tree,0.398,Jamaican Lion,RSP12917
base_tree,0.397,Jamaican Lion,RSP12913
base_tree,0.39,JL 3rd Gen Father,RSP11196
base_tree,0.3868,80E,RSP11211
base_tree,0.385,Jamaican Lion,RSP12915
base_tree,0.385,Cherry Blossom,RSP11328
base_tree,0.384,JL 3rd Gen Mother,RSP11214
base_tree,0.3848,80E,RSP11212
base_tree,0.377,Tanao Sri-white (80),RSP11621
base_tree,0.377,Unknown-(Cherry Wine)-(001),RSP11268
