Type,Distance,Strain,RSP
all_samples,0.25,RKM-2018-027,RSP11119
all_samples,0.257,Blue Dream,RSP11006
all_samples,0.26,BLACK JACK,RSP11346
all_samples,0.264,RKM-2018-025,RSP11117
all_samples,0.265,RKM-2018-016,RSP11108
all_samples,0.267,Black Jack,RSP10603
all_samples,0.269,Blue Dream,RSP11017
all_samples,0.272,Blue Dream,RSP11010
all_samples,0.275,Blueberry Cheesecake,RSP10684
all_samples,0.276,Durban Poison,RSP11014
all_samples,0.288,Blue Dream,RSP11012
all_samples,0.29,Blue Dream,RSP11008
all_samples,0.292,Electra,RSP11366
all_samples,0.295,Snoops Dream,RSP11003
all_samples,0.295,Super Blue Dream,RSP11011
all_samples,0.296,UP Sunrise,RSP10989
all_samples,0.297,Durban Poison,RSP10998
all_samples,0.298,Blue Dream,RSP11004
all_samples,0.299,Doug's Varin,RSP11243
all_samples,0.3,Durban Poison #1,RSP10996
base_tree,0.466,Carmaleonte,RSP11207
base_tree,0.466,CS,RSP11208
base_tree,0.459,Cherry Blossom,RSP11314
base_tree,0.456,Arcata Trainwreck,RSP11176
base_tree,0.456,Rainbow Belts 1.0,RSP12911
base_tree,0.451,JL 3rd Gen Father,RSP11196
base_tree,0.451,Feral,RSP11205
base_tree,0.449,Feral,RSP11206
base_tree,0.447,Feral,RSP10890
base_tree,0.447,Feral,RSP10891
base_tree,0.445,Rainbow Belts 3.0 #11,RSP12801
base_tree,0.444,Monoica,RSP10241
base_tree,0.442,AST 530,RSP13256
base_tree,0.442,Carmagnola,RSP11202
base_tree,0.442,Right Mark,RSP11628
base_tree,0.441,Santhica27,RSP10056
base_tree,0.441,Guru G #6,RSP12864
base_tree,0.441,Tiborszallasie,RSP11210
base_tree,0.4408,80E,RSP11213
