Type,Distance,Strain,RSP
all_samples,0.081,Peach Ozz x  Styrofoam Cup #4,RSP13392
all_samples,0.209,Peach Ozz x  Styrofoam Cup #8,RSP13393
all_samples,0.209,Jacks Cleaner,RSP11347
all_samples,0.21,Lemon Skunk,RSP11229
all_samples,0.213,RKM-2018-027,RSP11119
all_samples,0.216,Blue Dream,RSP11006
all_samples,0.216,UP Sunrise,RSP10989
all_samples,0.216,RKM-2018-025,RSP11117
all_samples,0.216,Black Jack,RSP10603
all_samples,0.218,RKM-2018-016,RSP11108
all_samples,0.22,Electra,RSP11366
all_samples,0.221,Blue Dream,RSP11017
all_samples,0.222,SK6210,RSP12735
all_samples,0.224,Blue Dream,RSP11009
all_samples,0.225,PWE,RSP11369
all_samples,0.226,Blue Dream,RSP11007
all_samples,0.226,BLACK JACK,RSP11346
all_samples,0.226,Serious Happiness,RSP10763
all_samples,0.227,Blue Dream,RSP11010
all_samples,0.228,Blue Dream,RSP11012
base_tree,0.466,Blueberry TrainMAC F2,RSP13463
base_tree,0.458,Rainbow Belts 1.0,RSP12911
base_tree,0.44,Rainbow Belts 3.0 #11,RSP12801
base_tree,0.44,Feral,RSP11205
base_tree,0.438,Cherry Blossom,RSP11333
base_tree,0.438,CS,RSP11208
base_tree,0.437,CS Indica,RSP11658
base_tree,0.436,Cherry Blossom,RSP11314
base_tree,0.43,The Original Z (Zk*****z),RSP13259
base_tree,0.4308,80E,RSP11213
base_tree,0.43,Animal Tree x [REDACTED] #4,RSP12792
base_tree,0.427,Badger G,RSP13082
base_tree,0.426,Cherry Blossom,RSP11317
base_tree,0.422,Northern Skunk,RSP11456
base_tree,0.421,Carmaleonte,RSP11207
base_tree,0.42,Tiger Tail (30),RSP11484
base_tree,0.42,BCH Rt-Fl,RSP13141
base_tree,0.417,Carmagnola,RSP11202
