Type,Distance,Strain,RSP
all_samples,0.139,Pearadise x Orange Juice #4,RSP12975
all_samples,0.158,Dump Truck x Tropical Juicebox #4,RSP13390
all_samples,0.178,Mother's Milk No. 31,RSP11623
all_samples,0.183,Styrofoam Cup X Pineapple Pez Melonade #15,RSP13101
all_samples,0.187,Styrofoam Cup x Orange Juice #1,RSP12980
all_samples,0.196,Crème de la Crème x Styrofoam Cup #2,RSP13394
all_samples,0.201,Styrofoam Cup x Pineapple Pez Melonade #3,RSP12976
all_samples,0.206,Styrofoam Cup x Orange Juice #2,RSP13109
all_samples,0.207,Super Sour Diesel,RSP11191
all_samples,0.21,Eucalyptus,RSP12803
all_samples,0.213,EGd St-M,RSP13147
all_samples,0.213,EGd Rt-Fl,RSP13144
all_samples,0.213,Styrofoam Cup x Orange Juice #5,RSP12974
all_samples,0.214,Banana Taffy x Styrofoam Cup #7,RSP13397
all_samples,0.215,GMO,RSP12091
all_samples,0.215,JL Cross 11,RSP11512
all_samples,0.216,Blueberry Cheesecake,RSP10684
all_samples,0.216,EGd Rt-M,RSP13146
all_samples,0.217,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.218,RKM-2018-021,RSP11113
base_tree,0.462,Big Red,RSP13217
base_tree,0.451,Cherry Blossom,RSP11311
base_tree,0.443,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.432,Cherry Blossom,RSP11318
base_tree,0.431,Jamaican Lion,RSP12913
base_tree,0.431,Cherry Blossom,RSP11314
base_tree,0.429,Cherry Blossom,RSP11328
base_tree,0.427,Tiger Tail (30),RSP11484
base_tree,0.424,Jamaican Lion,RSP12916
base_tree,0.422,Cherry Blossom,RSP11317
base_tree,0.413,Feral,RSP11206
base_tree,0.412,Cbot-2019-005,RSP11133
base_tree,0.411,BCH Rt-Fl,RSP13141
base_tree,0.411,Cherry Blossom,RSP11301
base_tree,0.411,Cherry Blossom,RSP11323
base_tree,0.41,AVIDEKEL 2.0,RSP11174
base_tree,0.41,Northern Lights,RSP11501
base_tree,0.41,Tanao Sri (46),RSP11486
base_tree,0.41,Cherry Blossom,RSP11312
base_tree,0.409,CS,RSP11208
