Type,Distance,Strain,RSP
all_samples,0.024,BCP-St-NoMET,RSP13195
all_samples,0.027,BCP St-Fl,RSP13140
all_samples,0.027,BCP Buds,RSP13137
all_samples,0.029,BCP-Lf-NoMET,RSP13191
all_samples,0.034,BCP-St-MET,RSP13194
all_samples,0.036,BCP-Rt-MET,RSP13192
all_samples,0.04,BCP Rt-Fl,RSP13138
all_samples,0.058,Blch-Rt-RW,RSP13198
all_samples,0.068,BCP Lf-Fl,RSP13139
all_samples,0.084,BCP Dring,RSP13118
all_samples,0.097,BCP Lf-MET,RSP13190
all_samples,0.107,Blch-Rt-Coco,RSP13197
all_samples,0.131,BCP-Stem-Fl2,RSP13196
all_samples,0.186,Blch Buds,RSP13134
all_samples,0.189,Blch St-Fl,RSP13136
all_samples,0.19,Blch Rt-Fl,RSP13135
all_samples,0.191,D1,RSP12875
all_samples,0.231,T20I,RSP13093
all_samples,0.231,T20G,RSP13091
all_samples,0.232,T20H,RSP13092
base_tree,0.454,Cherry Blossom,RSP11317
base_tree,0.447,Jamaican Lion,RSP12916
base_tree,0.444,JL yellow,RSP11075
base_tree,0.435,Jamaican Lion,RSP12917
base_tree,0.435,Cherry Blossom,RSP11314
base_tree,0.433,Cherry Blossom,RSP11323
base_tree,0.433,Cherry Blossom,RSP11311
base_tree,0.433,JL 3rd Gen Mother,RSP11214
base_tree,0.431,Cherry Blossom,RSP11306
base_tree,0.425,Jamaican Lion,RSP12915
base_tree,0.423,Cherry Blossom,RSP11325
base_tree,0.422,Cherry Blossom,RSP11328
base_tree,0.417,Tiger Tail (30),RSP11484
base_tree,0.413,CS Indica,RSP11658
base_tree,0.412,Cherry Blossom,RSP11324
base_tree,0.41,Cherry Blossom,RSP11309
base_tree,0.407,JL 3rd Gen Mother,RSP11197
base_tree,0.406,Cherry Blossom,RSP11330
base_tree,0.406,Northern Lights,RSP11501
