Type,Distance,Strain,RSP
all_samples,0.01,"RO3 by ""3R Bio""",RSP13429
all_samples,0.013,White Cherry Gelato-V (D15),RSP13305
all_samples,0.02,Runtz (RO3),RSP13306
all_samples,0.039,Pink Runtz (VO1),RSP13307
all_samples,0.04,Purple Urkle,RSP12890
all_samples,0.141,Bolo Runtz x Styrofoam Cup #1,RSP13401
all_samples,0.154,Absolute_OG,RSP11455
all_samples,0.17,SFVxTK,RSP11072
all_samples,0.171,Skywalker OG,RSP10837
all_samples,0.176,CDSD,RSP13084
all_samples,0.18,East side OG,RSP12089
all_samples,0.181,T20H,RSP13092
all_samples,0.182,Red Eye OG,RSP11190
all_samples,0.182,T20I,RSP13093
all_samples,0.184,T20G,RSP13091
all_samples,0.184,Rootbeer Rolex #50,RSP12645
all_samples,0.187,Super Runtz,RSP12810
all_samples,0.19,UK Cheese,RSP12896
all_samples,0.19,CDSD,RSP12929
all_samples,0.191,PD St-M,RSP13149
base_tree,0.463,Cherry Blossom,RSP11306
base_tree,0.463,Cherry Blossom,RSP11318
base_tree,0.462,Big Red,RSP13217
base_tree,0.454,Tanao Sri (46),RSP11486
base_tree,0.447,Northern Skunk,RSP11456
base_tree,0.446,Cherry Blossom,RSP11325
base_tree,0.437,Jamaican Lion,RSP12916
base_tree,0.437,Cherry Blossom,RSP11323
base_tree,0.433,CBD2 V.2,RSP12669
base_tree,0.433,Cherry Blossom,RSP11329
base_tree,0.429,AVIDEKEL 2.0,RSP11174
base_tree,0.429,Jamaican Lion,RSP12917
base_tree,0.428,Super Silver Haze,RSP12737
base_tree,0.427,JL yellow,RSP11075
base_tree,0.427,Cherry Blossom,RSP11326
base_tree,0.426,Cherry Blossom,RSP11315
base_tree,0.426,Cherry Blossom,RSP11301
base_tree,0.426,Cherry Blossom,RSP11300
base_tree,0.421,Citradelic Sunset,RSP11975
