Type,Distance,Strain,RSP
all_samples,0.156,Electra,RSP11366
all_samples,0.188,Suver Haze,RSP11364
all_samples,0.188,Doug's Varin,RSP11243
all_samples,0.193,Lift,RSP11378
all_samples,0.199,FL30 7/11/2019,RSP11361
all_samples,0.204,Serious Happiness,RSP10763
all_samples,0.207,Joy,RSP11380
all_samples,0.209,Liberty Haze,RSP11000
all_samples,0.212,Domnesia,RSP11184
all_samples,0.215,UnObtanium,RSP11611
all_samples,0.215,Queen Dream CBG,RSP11296
all_samples,0.221,Cherry Wine,RSP11307
all_samples,0.221,Calm,RSP11379
all_samples,0.222,Cherry Wine,RSP11305
all_samples,0.222,Queen Dream CBG,RSP11294
all_samples,0.222,UP Sunrise,RSP10989
all_samples,0.225,Queen Dream CBG,RSP11286
all_samples,0.225,Durban Poison #1,RSP11013
all_samples,0.225,Lifter,RSP11365
all_samples,0.225,Ringo's Angel,RSP10085
base_tree,0.432,Jamaican Lion,RSP12916
base_tree,0.4238,80E,RSP11213
base_tree,0.412,CDSD,RSP12935
base_tree,0.4118,80E,RSP11211
base_tree,0.41,JL yellow,RSP11075
base_tree,0.409,Fatso,RSP11741
base_tree,0.409,Styrofoam Cup x Cuban Linx #4,RSP12970
base_tree,0.408,PK Dried,RSP13123
base_tree,0.4048,80E,RSP11212
base_tree,0.403,Chem 91,RSP11185
base_tree,0.403,CS Indica,RSP11658
base_tree,0.4,Jamaican Lion,RSP12917
base_tree,0.399,T20 Dried,RSP13125
base_tree,0.399,RKM-2018-026,RSP11118
base_tree,0.399,Cherry Blossom,RSP11309
base_tree,0.398,JL 3rd Gen Mother,RSP11214
base_tree,0.396,Cherry Blossom,RSP11328
base_tree,0.393,White Label 1,RSP11336
base_tree,0.393,RKM-2018-012,RSP11103
base_tree,0.393,Right Mark,RSP11628
