Type,Distance,Strain,RSP
all_samples,0.025,SLH Buds,RSP13131
all_samples,0.037,SLH Rt-Fl,RSP13133
all_samples,0.057,SLH C3,RSP12943
all_samples,0.08,SLH C3,RSP12942
all_samples,0.194,Domnesia,RSP11184
all_samples,0.204,Pie Face Mac,RSP11974
all_samples,0.209,Wedding Cake x MAC,RSP11464
all_samples,0.219,Casco Kush,RSP11167
all_samples,0.222,Blue Dream,RSP11009
all_samples,0.223,Durban Poison #1,RSP11013
all_samples,0.227,White Chronic,RSP11220
all_samples,0.227,Sunday Driver,RSP11071
all_samples,0.228,SHERBERT,RSP11355
all_samples,0.228,Serious Happiness,RSP10763
all_samples,0.23,Pieface,RSP12794
all_samples,0.234,Blue Dream,RSP11006
all_samples,0.234,Blue Dream,RSP11017
all_samples,0.235,JL Cross 29,RSP11530
all_samples,0.237,Super Blue Dream,RSP11011
all_samples,0.238,Dominion Skunk,RSP11354
base_tree,0.484,Cherry Blossom,RSP11323
base_tree,0.438,Jamaican Lion,RSP12916
base_tree,0.434,Cherry Blossom,RSP11328
base_tree,0.428,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.42,Cherry Blossom,RSP11309
base_tree,0.418,Cherry Blossom,RSP11318
base_tree,0.415,Cherry Blossom,RSP11298
base_tree,0.415,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.415,Jamaican Lion,RSP12917
base_tree,0.414,Cherry Blossom CBG,RSP11303
base_tree,0.411,Cherry Blossom,RSP11306
base_tree,0.41,Tanao Sri (46),RSP11486
base_tree,0.405,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.404,JL 3rd Gen Mother,RSP11214
base_tree,0.403,Jamaican Lion,RSP12915
base_tree,0.402,Cherry Blossom,RSP11274
base_tree,0.4,JL yellow,RSP11075
base_tree,0.4,Cherry Blossom,RSP11314
base_tree,0.399,Cherry Blossom,RSP11334
base_tree,0.395,JL_x_NSPM1_4,RSP11482
