Type,Distance,Strain,RSP
all_samples,0.156,BLACK JACK,RSP11346
all_samples,0.159,RKM-2018-025,RSP11117
all_samples,0.159,Elc.Grp. Drying,RSP13121
all_samples,0.16,RKM-2018-016,RSP11108
all_samples,0.161,Black Jack,RSP10603
all_samples,0.167,RKM-2018-020,RSP11112
all_samples,0.172,RKM-2018-027,RSP11119
all_samples,0.176,Miss X,RSP10999
all_samples,0.179,Serious Happiness,RSP10763
all_samples,0.186,Durban Poison #1,RSP11013
all_samples,0.188,Gold Cracker,RSP11041
all_samples,0.191,Pearadise x Pineapple Pez Melonade #6,RSP12978
all_samples,0.192,Cheese,RSP10460
all_samples,0.194,Lift,RSP11378
all_samples,0.196,Gold Cracker,RSP11048
all_samples,0.197,Durban Poison,RSP11014
all_samples,0.199,Electra,RSP11366
all_samples,0.2,Durban Poison #1,RSP10996
all_samples,0.2,Lime OG,RSP12101
all_samples,0.2,Doug's Varin,RSP11243
base_tree,0.488,Cherry Blossom,RSP11323
base_tree,0.441,Cherry Blossom,RSP11318
base_tree,0.438,Cherry Blossom,RSP11328
base_tree,0.438,Tanao Sri (46),RSP11486
base_tree,0.418,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.416,Cherry Blossom,RSP11309
base_tree,0.413,Jamaican Lion,RSP12916
base_tree,0.412,Cherry Blossom,RSP11301
base_tree,0.409,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.403,Cherry Blossom,RSP11274
base_tree,0.4,Cherry Blossom,RSP11298
base_tree,0.398,Cherry Blossom,RSP11306
base_tree,0.3978,80E,RSP11213
base_tree,0.397,Cherry Blossom,RSP11312
base_tree,0.395,CS,RSP11208
base_tree,0.389,Jamaican Lion,RSP12917
base_tree,0.388,Cherry Blossom,RSP11327
base_tree,0.385,Cherry Blossom CBG,RSP11303
