Type,Distance,Strain,RSP
all_samples,0.155,Electra,RSP11366
all_samples,0.161,Lift,RSP11378
all_samples,0.174,Doug's Varin,RSP11243
all_samples,0.175,Serious Happiness,RSP10763
all_samples,0.194,Badger,RSP11614
all_samples,0.206,Suver Haze,RSP11364
all_samples,0.213,UnObtanium,RSP11611
all_samples,0.213,Lifter,RSP11365
all_samples,0.218,Durban Poison #1,RSP11013
all_samples,0.223,Joy,RSP11380
all_samples,0.225,Blue Dream,RSP11017
all_samples,0.225,Rest,RSP11377
all_samples,0.226,C5 Haze,RSP12817
all_samples,0.227,Durban Poison #1,RSP10996
all_samples,0.23,Durban Poison,RSP11014
all_samples,0.23,C-930 lot 211005,RSP12603
all_samples,0.231,Recon,RSP10755
all_samples,0.231,JL_X_NSPM1_14,RSP11473
all_samples,0.235,Blueberry Cheesecake,RSP10684
all_samples,0.235,Domnesia,RSP11184
base_tree,0.443,Cherry Blossom,RSP11323
base_tree,0.421,Cherry Blossom,RSP11328
base_tree,0.417,BCH Rt-Fl,RSP13141
base_tree,0.411,Jamaican Lion,RSP12916
base_tree,0.404,El Gordo Dried,RSP13122
base_tree,0.404,Chem 91,RSP11185
base_tree,0.402,Cherry Blossom,RSP11301
base_tree,0.4,RKM-2018-002,RSP11093
base_tree,0.395,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.393,El Gordo,RSP12938
base_tree,0.389,PK Dried,RSP13123
base_tree,0.384,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.383,Tanao Sri (46),RSP11486
base_tree,0.383,EGd St-M,RSP13147
base_tree,0.382,Jamaican Lion,RSP12913
base_tree,0.381,EGd Rt-Fl,RSP13144
base_tree,0.381,JL yellow,RSP11075
base_tree,0.3818,80E,RSP11213
base_tree,0.381,EGd Rt-M,RSP13146
base_tree,0.38,AVIDEKEL 2.0,RSP11174
