Type,Distance,Strain,RSP
all_samples,0.200501,501st OG,RSP11241
all_samples,0.206,Mothers Milk #5,RSP11186
all_samples,0.209,Donnie Burger,RSP13220
all_samples,0.21,DB,RSP13083
all_samples,0.211,Donnie Burger,RSP13219
all_samples,0.211,Whitey,RSP11363
all_samples,0.212,DB St-Fl,RSP13142
all_samples,0.213,CBG Fiber,RSP11440
all_samples,0.215,SFVxTK,RSP11072
all_samples,0.215,Skywalker OG,RSP10837
all_samples,0.217,DNA Genetics - Tangie (Legend of Hash Seeds),RSP12921
all_samples,0.219,Durban Poison #1,RSP11013
all_samples,0.22,SHERBERT,RSP11355
all_samples,0.22,CBG Berry,RSP11445
all_samples,0.221,CBG-#40,RSP11444
all_samples,0.222,Mother's Milk No. 31,RSP11623
all_samples,0.222,Absolute_OG,RSP11455
all_samples,0.223,GPie x GodMac cross,RSP13223
all_samples,0.223,CBG #30,RSP11447
all_samples,0.224,DB,RSP12930
base_tree,0.446,Jamaican Lion,RSP12913
base_tree,0.442,Cbot-2019-005,RSP11133
base_tree,0.4428,80E,RSP11213
base_tree,0.44,JL 3rd Gen Father,RSP11196
base_tree,0.436,Jamaican Lion,RSP12916
base_tree,0.433,Cherry Blossom,RSP11333
base_tree,0.432,Northern Skunk,RSP11456
base_tree,0.431,Cherry Blossom,RSP11323
base_tree,0.427,JL yellow,RSP11075
base_tree,0.427,Jamaican Lion,RSP12917
base_tree,0.422,Cherry Blossom,RSP11314
base_tree,0.4218,80E,RSP11212
base_tree,0.42,JL 4th Gen 5,RSP11199
base_tree,0.419,JL 3rd Gen Mother,RSP11214
base_tree,0.418,Cherry Blossom,RSP11311
base_tree,0.416,Jamaican Lion,RSP12915
base_tree,0.415,Cherry Fog XL,RSP11458
base_tree,0.4148,80E,RSP11211
base_tree,0.412,Cherry Blossom,RSP11274
base_tree,0.411,JL 4th Gen 2,RSP11194
