Type,Distance,Strain,RSP
all_samples,0.021,PG Buds,RSP13151
all_samples,0.026,PG,RSP13088
all_samples,0.038,PG,RSP12934
all_samples,0.061,PG,RSP12928
all_samples,0.195,PD Lf-M,RSP13150
all_samples,0.198,PD St-M,RSP13149
all_samples,0.201,T20G,RSP13091
all_samples,0.203,T20H,RSP13092
all_samples,0.203,T20I,RSP13093
all_samples,0.211,JL Cross 1,RSP11502
all_samples,0.214,JFG,RSP13085
all_samples,0.214,Blch Buds,RSP13134
all_samples,0.215,JFG,RSP12927
all_samples,0.215,Blch St-Fl,RSP13136
all_samples,0.216,Blue Dream,RSP11004
all_samples,0.219,Hermaphrodite_Research_Sample1,RSP11042
all_samples,0.22,Blch Rt-Fl,RSP13135
all_samples,0.22,Horncreek Lazie OG,RSP13158
all_samples,0.221,Blue Dream,RSP11007
all_samples,0.223,Powdered Donuts,RSP12939
base_tree,0.465,Cherry Blossom,RSP11317
base_tree,0.462,Cherry Blossom,RSP11311
base_tree,0.458,Cherry Blossom,RSP11328
base_tree,0.444,Cherry Blossom,RSP11334
base_tree,0.443,Cherry Blossom,RSP11298
base_tree,0.434,Cherry Blossom,RSP11314
base_tree,0.433,Cherry Blossom,RSP11335
base_tree,0.433,Cherry Blossom,RSP11308
base_tree,0.43,CS Indica,RSP11658
base_tree,0.43,Cherry Blossom,RSP11312
base_tree,0.428,Cherry Blossom,RSP11330
base_tree,0.428,Candy Kush,RSP11492
base_tree,0.423,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.419,CS,RSP11208
base_tree,0.419,Cherry Blossom,RSP11309
base_tree,0.414,Cherry Blossom,RSP11323
base_tree,0.413,Feral,RSP11206
base_tree,0.409,Cherry Blossom,RSP11333
base_tree,0.407,Tiger Tail (30),RSP11484
