Type,Distance,Strain,RSP
all_samples,0.098,BCP-St-NoMET,RSP13195
all_samples,0.101,BCP Buds,RSP13137
all_samples,0.102,BCP St-Fl,RSP13140
all_samples,0.103,BCP-Lf-NoMET,RSP13191
all_samples,0.107,BCP-St-MET,RSP13194
all_samples,0.107,BCP-Rt-NoMET,RSP13193
all_samples,0.108,BCP-Rt-MET,RSP13192
all_samples,0.109,BCP Rt-Fl,RSP13138
all_samples,0.121,Blch-Rt-RW,RSP13198
all_samples,0.139,BCP Dring,RSP13118
all_samples,0.141,BCP Lf-Fl,RSP13139
all_samples,0.145,BCP Lf-MET,RSP13190
all_samples,0.197,BCP-Stem-Fl2,RSP13196
all_samples,0.233,Blch Buds,RSP13134
all_samples,0.235,Blch St-Fl,RSP13136
all_samples,0.238,D1,RSP12875
all_samples,0.239,Blch Rt-Fl,RSP13135
all_samples,0.26,T20I,RSP13093
all_samples,0.262,T20H,RSP13092
all_samples,0.263,T20G,RSP13091
base_tree,0.514,JL yellow,RSP11075
base_tree,0.507,Jamaican Lion,RSP12916
base_tree,0.504,JL 3rd Gen Mother,RSP11214
base_tree,0.498,Jamaican Lion,RSP12917
base_tree,0.486,Jamaican Lion,RSP12915
base_tree,0.476,Cherry Blossom,RSP11317
base_tree,0.475,JL 3rd Gen Mother,RSP11197
base_tree,0.462,JL 4th Gen 1,RSP11193
base_tree,0.456,Cherry Blossom,RSP11306
base_tree,0.454,Cherry Blossom,RSP11323
base_tree,0.452,JL_x_NSPM1_4,RSP11482
base_tree,0.446,Tiger Tail (30),RSP11484
base_tree,0.445,JL_Tent_4,RSP11491
base_tree,0.444,JL_x_MandarinCookies_XX_THC_10,RSP13168
base_tree,0.443,Cherry Blossom,RSP11325
base_tree,0.442,Cherry Blossom,RSP11328
base_tree,0.441,Cherry Blossom,RSP11311
base_tree,0.441,Cherry Blossom,RSP11314
base_tree,0.44,Cherry Blossom,RSP11330
