Type,Distance,Strain,RSP
all_samples,0.086,A29-St-M-Rw,RSP13189
all_samples,0.097,A29-Rt-M-Rw,RSP13188
all_samples,0.186,Domnesia,RSP11184
all_samples,0.199,Electra,RSP11366
all_samples,0.204,Glitter Bomb,RSP12901
all_samples,0.205,JFG,RSP13085
all_samples,0.206,PD Lf-M,RSP13150
all_samples,0.207,PD St-M,RSP13149
all_samples,0.213,Tahoe OG,RSP11189
all_samples,0.213,JL_X_NSPM1_7,RSP11469
all_samples,0.215,SHERBERT,RSP11355
all_samples,0.215,Lift,RSP11378
all_samples,0.215,Serious Happiness,RSP10763
all_samples,0.216,Permanent Marker,RSP12907
all_samples,0.219,Rest,RSP11377
all_samples,0.219,JFG,RSP12927
all_samples,0.219,Old Family Purple,RSP12098
all_samples,0.222,Mendo Purple,RSP11494
all_samples,0.222,Blueberry Cheesecake,RSP10684
all_samples,0.223,SLH Rt-Fl,RSP13133
base_tree,0.435,Northern Skunk,RSP11456
base_tree,0.419,Jamaican Lion,RSP12916
base_tree,0.4128,80E,RSP11213
base_tree,0.41,Cherry Blossom,RSP11323
base_tree,0.403,Jamaican Lion,RSP12913
base_tree,0.401,JL yellow,RSP11075
base_tree,0.398,Cherry Blossom,RSP11328
base_tree,0.392,Jamaican Lion,RSP12917
base_tree,0.39,BCH Rt-Fl,RSP13141
base_tree,0.388,Candy Kush,RSP11492
base_tree,0.3878,80E,RSP11212
base_tree,0.387,Cherry Blossom,RSP11317
base_tree,0.384,Cherry Blossom,RSP11309
base_tree,0.3838,80E,RSP11211
