Type,Distance,Strain,RSP
all_samples,0.106,Pearadise x Cookie Dough #13,RSP13105
all_samples,0.129,Crème de la Crème x Styrofoam Cup #11,RSP13402
all_samples,0.15,Pearadise x Cookie Dough #11,RSP13106
all_samples,0.16,Styrofoam Cup X Cookie Dough #2,RSP13104
all_samples,0.168,East Coast Sour Diesel,RSP12922
all_samples,0.169,Crème de la Crème x Styrofoam Cup #2,RSP13394
all_samples,0.173,Styrofoam Cup X Sh3rb3t #2,RSP13102
all_samples,0.174,RKM-2018-034,RSP11126
all_samples,0.177,Crème de la Crème x Pearadise #14,RSP13396
all_samples,0.178,Crème de la Crème x Styrofoam Cup #12,RSP13395
all_samples,0.181,Gorilla Cookies,RSP11231
all_samples,0.184,SFVxTK,RSP11072
all_samples,0.184,Absolute_OG,RSP11455
all_samples,0.186,Runtz (RO3),RSP13306
all_samples,0.186,Skywalker OG,RSP10837
all_samples,0.186,Fresca Melon x Styrofoam Cup #6,RSP13398
all_samples,0.188,El Presidente,RSP12807
all_samples,0.188,Orange Soda x Styrofoam Cup #2,RSP13388
all_samples,0.188,Casco Kush,RSP11167
all_samples,0.189,NSPM_x_NSPM,RSP11487
base_tree,0.494,Big Red,RSP13217
base_tree,0.475,Cherry Blossom,RSP11318
base_tree,0.473,Cherry Blossom,RSP11323
base_tree,0.471,Cherry Blossom,RSP11328
base_tree,0.452,Tanao Sri (46),RSP11486
base_tree,0.438,Cherry Blossom,RSP11309
base_tree,0.436,Jamaican Lion,RSP12916
base_tree,0.434,Cherry Blossom,RSP11312
base_tree,0.428,CBD2 V.2,RSP12669
base_tree,0.426,Gorilla Glue,RSP11493
base_tree,0.426,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.425,Brunswick High,RSP11164
base_tree,0.422,Cherry Blossom,RSP11301
base_tree,0.421,Northern Skunk,RSP11456
base_tree,0.421,Cherry Blossom,RSP11300
base_tree,0.421,Jamaican Lion,RSP12913
base_tree,0.42,Cherry Blossom,RSP11298
base_tree,0.418,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.418,Jamaican Lion,RSP12917
base_tree,0.417,Cherry Blossom,RSP11306
