Type,Distance,Strain,RSP
all_samples,0.015,PK Buds,RSP13153
all_samples,0.018,PK,RSP13087
all_samples,0.023,PK,RSP12932
all_samples,0.027,PK Rt-Fl,RSP13154
all_samples,0.036,PK Drying,RSP13124
all_samples,0.042,PK,RSP12926
all_samples,0.074,PK Dried,RSP13123
all_samples,0.11,RKM-2018-008,RSP11099
all_samples,0.113,The Gift,RSP10988
all_samples,0.132,RKM-2018-013,RSP11104
all_samples,0.135,Rugburn OG,RSP11353
all_samples,0.141,DP Dried,RSP13143
all_samples,0.142,Skywalker OG,RSP10837
all_samples,0.142,SFVxTK,RSP11072
all_samples,0.144,RKM-2018-012,RSP11103
all_samples,0.151,Absolute_OG,RSP11455
all_samples,0.152,Elc.Grp. Drying,RSP13121
all_samples,0.159,Red Eye OG,RSP11190
all_samples,0.159,East side OG,RSP12089
all_samples,0.16,Pure Power Plant,RSP11265
base_tree,0.487,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.473,Cherry Blossom,RSP11301
base_tree,0.471,Cherry Blossom,RSP11318
base_tree,0.47,Cherry Blossom,RSP11323
base_tree,0.466,Tanao Sri (46),RSP11486
base_tree,0.463,Jamaican Lion,RSP12916
base_tree,0.461,Brunswick High,RSP11164
base_tree,0.46,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.457,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.455,Cherry Blossom,RSP11328
base_tree,0.45,Jamaican Lion,RSP12917
base_tree,0.45,Cherry Blossom,RSP11298
base_tree,0.449,Cherry Blossom,RSP11300
base_tree,0.447,Cherry Blossom,RSP11312
base_tree,0.447,Cherry Blossom,RSP11309
base_tree,0.44,Cherry Blossom,RSP11306
base_tree,0.439,Jamaican Lion,RSP12915
base_tree,0.436,Jamaican Lion,RSP12913
base_tree,0.433,Avidekel_05MAY2017,RSP10938
base_tree,0.432,Cherry Blossom,RSP11325
