Type,Distance,Strain,RSP
all_samples,0.015,PD Lf-M,RSP13150
all_samples,0.018,JFG,RSP13085
all_samples,0.047,JFG,RSP12927
all_samples,0.069,Dried Leaves,RSP13120
all_samples,0.07,Powdered Donuts,RSP12939
all_samples,0.08,JFG,RSP12933
all_samples,0.149,Old Family Purple,RSP12098
all_samples,0.172,SFVxTK,RSP11072
all_samples,0.175,Skywalker OG,RSP10837
all_samples,0.176,BF,RSP12931
all_samples,0.179501,501st OG,RSP11241
all_samples,0.189,PG Buds,RSP13151
all_samples,0.19,East side OG,RSP12089
all_samples,0.19,BF,RSP13086
all_samples,0.191,Red Eye OG,RSP11190
all_samples,0.192,Jilly bean,RSP11230
all_samples,0.192,RKM-2018-012,RSP11103
all_samples,0.192,Absolute_OG,RSP11455
all_samples,0.194,Champelli Red #4,RSP12804
all_samples,0.196,unknown,RSP11432
base_tree,0.447,Cherry Blossom,RSP11317
base_tree,0.435,Northern Skunk,RSP11456
base_tree,0.4338,80E,RSP11213
base_tree,0.431,Cherry Blossom,RSP11323
base_tree,0.425,Cherry Fog XL,RSP11458
base_tree,0.422,Cherry Blossom,RSP11318
base_tree,0.42,Cherry Blossom,RSP11328
base_tree,0.42,Cherry Blossom,RSP11298
base_tree,0.418,Cherry Blossom,RSP11311
base_tree,0.408,Cherry Blossom,RSP11312
base_tree,0.406,Cherry Blossom,RSP11330
base_tree,0.405,Cherry Blossom,RSP11306
base_tree,0.404,Cherry Blossom,RSP11309
base_tree,0.403,Cherry Blossom,RSP11324
base_tree,0.402,Cherry Blossom,RSP11314
base_tree,0.401,Cherry Blossom,RSP11333
base_tree,0.4,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.4,Tanao Sri (46),RSP11486
base_tree,0.4,Cherry Blossom,RSP11308
base_tree,0.4,Jamaican Lion,RSP12916
