Type,Distance,Strain,RSP
all_samples,0.246,Wife,RSP11148
all_samples,0.267,Ringo's Gift (Katie's Cut),RSP11624
all_samples,0.278,Cbot-2019-001,RSP11129
all_samples,0.286,CBD2 V.2,RSP12669
all_samples,0.2882,2nd Gen Cherry,RSP11141
all_samples,0.294,Cherry Blossom,RSP11328
all_samples,0.296,Cherry Wine,RSP11145
all_samples,0.297,Cherry Blossom,RSP11318
all_samples,0.302,Cherry,RSP11143
all_samples,0.308,AVIDEKEL 2.0,RSP11174
all_samples,0.313,Cherry Blossom,RSP11310
all_samples,0.317,Queen Dream CBG,RSP11293
all_samples,0.317,Otto,RSP11147
all_samples,0.323,Chematonic (Cannatonic x Chemdawg),RSP11394
all_samples,0.323,QLF4,RSP11441
all_samples,0.326,Midnight_05MAY2017,RSP10941
all_samples,0.327,UP Sunrise,RSP10989
all_samples,0.327,Queen Dream CBG,RSP11297
all_samples,0.329,Alaska_05MAY2017,RSP10939
all_samples,0.331,Cherry Blossom,RSP11332
base_tree,0.539,Rainbow Belts 1.0,RSP12911
base_tree,0.523,GMO x Garlic Breath,RSP12507
base_tree,0.519,JL Cross 5,RSP11506
base_tree,0.518,GMO,RSP12091
base_tree,0.514,Animal Tree x [REDACTED] #4,RSP12792
base_tree,0.513,NSPM_x_NSPM,RSP11487
base_tree,0.511,Rainbow Belts 3.0 #11,RSP12801
base_tree,0.509,BagSeed,RSP12627
base_tree,0.509,BagSeed,RSP12501
base_tree,0.508,RKM-2018-034,RSP11126
base_tree,0.507,Rainbow Belts 2.0,RSP12802
base_tree,0.507,Fatso,RSP11741
base_tree,0.506,JABBA'S STASH,RSP11348
base_tree,0.505,Abacus,RSP11266
base_tree,0.504,Red Eye OG,RSP11190
base_tree,0.504,Stormy,RSP11454
base_tree,0.503,Kush Hemp E1,RSP11128
base_tree,0.502,Eran Almog_05MAY2017,RSP10937
base_tree,0.502,GMO x [REDACTED] #43,RSP11976
base_tree,0.502,Styrofoam Cup x Orange Juice #1,RSP12980
