Type,Distance,Strain,RSP
all_samples,0.041,Runtz (RO3),RSP13306
all_samples,0.043,White Cherry Gelato-V (D15),RSP13305
all_samples,0.051,Purple Urkle,RSP12890
all_samples,0.155,Absolute_OG,RSP11455
all_samples,0.166,Red Eye OG,RSP11190
all_samples,0.17,Skywalker OG,RSP10837
all_samples,0.17,T20G,RSP13091
all_samples,0.171,T20H,RSP13092
all_samples,0.174,T20I,RSP13093
all_samples,0.178,CDSD,RSP13084
all_samples,0.178,SFVxTK,RSP11072
all_samples,0.179,East side OG,RSP12089
all_samples,0.18,Deadhead OG,RSP11463
all_samples,0.181,Bueller F3,RSP12503
all_samples,0.186,UK Cheese,RSP12896
all_samples,0.19,Super Runtz,RSP12810
all_samples,0.192,Rootbeer Rolex #50,RSP12645
all_samples,0.193,Casco Kush,RSP11167
all_samples,0.195,RKM-2018-034,RSP11126
all_samples,0.196,East Coast Sour Diesel,RSP12922
base_tree,0.591,Jamaican Lion,RSP12916
base_tree,0.582,JL yellow,RSP11075
base_tree,0.567,Jamaican Lion,RSP12917
base_tree,0.553,JL 3rd Gen Mother,RSP11214
base_tree,0.537,Jamaican Lion,RSP12915
base_tree,0.515,JL 3rd Gen Mother,RSP11197
base_tree,0.496,JL 4th Gen 1,RSP11193
base_tree,0.49,JL 4th Gen 5,RSP11199
base_tree,0.486,Tanao Sri (46),RSP11486
base_tree,0.485,JL 4th Gen 6,RSP11200
base_tree,0.475,JL 4th Gen 4,RSP11198
base_tree,0.471,JL x MC7,RSP13213
base_tree,0.467,JL 4th Gen 2,RSP11194
base_tree,0.466,Big Red,RSP13217
base_tree,0.458,JL_x_MandarinCookies_XX_THC_10,RSP13168
base_tree,0.455,JL_X_NSPM1_12,RSP11472
base_tree,0.452,JL x MC5,RSP13212
base_tree,0.446,JL 4th Gen 3,RSP11195
base_tree,0.444,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.443,JL_x_MandarinCookies_XX_THC_5,RSP13167
