Type,Distance,Strain,RSP
all_samples,0.035,HM Buds,RSP13128
all_samples,0.046,HM Rt-M,RSP13129
all_samples,0.088,HM,RSP12941
all_samples,0.182,Eucalyptus,RSP12803
all_samples,0.184,PMK 16953,RSP13111
all_samples,0.185,East Coast Sour Diesel,RSP12922
all_samples,0.186,PMK 16949,RSP13110
all_samples,0.186,CDSD,RSP13084
all_samples,0.193,RKM-2018-034,RSP11126
all_samples,0.202,UK Cheese,RSP12896
all_samples,0.203,Gorilla Cookies,RSP11231
all_samples,0.203,Peach Ringz,RSP12899
all_samples,0.204,CDSD,RSP12929
all_samples,0.206,Rootbeer Rolex #50,RSP12645
all_samples,0.206,Cherry Lime Runtz,RSP12486
all_samples,0.212,CDSD,RSP12935
all_samples,0.213,RKM-2018-026,RSP11118
all_samples,0.213,GMO x [REDACTED] #43,RSP11976
all_samples,0.22,Deadhead OG,RSP11463
all_samples,0.223,Pure Power Plant,RSP11265
base_tree,0.459,Tanao Sri (46),RSP11486
base_tree,0.457,Cherry Blossom,RSP11306
base_tree,0.447,Cherry Blossom,RSP11328
base_tree,0.446,Cherry Blossom,RSP11325
base_tree,0.44,Cherry Blossom,RSP11330
base_tree,0.439,Cherry Blossom,RSP11323
base_tree,0.437,Cherry Blossom,RSP11318
base_tree,0.436,Cherry Blossom,RSP11309
base_tree,0.435,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.434,Jamaican Lion,RSP12916
base_tree,0.432,Wife,RSP11148
base_tree,0.432,Cherry Blossom,RSP11300
base_tree,0.427,Cherry Blossom,RSP11312
base_tree,0.427,Cherry Blossom,RSP11317
base_tree,0.426,Avidekel_05MAY2017,RSP10938
base_tree,0.426,Cherry Blossom,RSP11298
base_tree,0.426,Cherry Blossom,RSP11322
base_tree,0.424,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.422,CBD2 V.2,RSP12669
base_tree,0.42,Brunswick High,RSP11164
